freekick_id,match_id,time,team_taking,freekick_type,location_x,location_y,delivery_target,outcome,is_shot,is_clearance,is_goal,winning_duel_id,contact_location_x,contact_location_y
903,91,82.91,Kaizer Chiefs,direct,4.41,34.94,near post,shot,True,False,False,237335.0,76.81,20.78
904,91,29.23,Crotone,cross,35.66,4.93,near post,second ball,False,False,False,230482.0,73.65,21.88
911,92,42.71,DSC Arminia Bielefeld,cross,47.35,10.28,far post,second ball,False,False,False,204024.0,79.08,4.45
912,92,2.73,DSC Arminia Bielefeld,indirect,25.24,2.08,far post,second ball,False,False,False,211320.0,27.97,14.03
913,92,52.46,DSC Arminia Bielefeld,direct,95.81,14.31,far post,clearance,False,True,False,267446.0,2.91,14.4
921,93,9.42,Rapid Vienna,direct,50.59,12.77,far post,shot,True,False,False,219852.0,78.84,49.46
922,93,56.22,Avaí,direct,42.71,20.46,near post,shot,True,False,False,246155.0,17.46,35.32
923,93,26.98,Avaí,indirect,49.34,7.62,far post,no outcome,False,False,False,262628.0,46.61,20.47
924,93,16.68,Avaí,direct,68.84,16.4,edge box,second ball,False,False,False,170320.0,9.57,19.75
925,93,50.42,Rapid Vienna,indirect,17.54,5.5,far post,clearance,False,True,False,208334.0,24.01,38.01
931,94,16.0,Manchester City,layoff,78.9,29.85,edge box,second ball,False,False,False,201995.0,0.72,22.81
932,94,17.22,Manchester City,layoff,38.45,35.92,edge box,shot,True,False,False,205553.0,71.46,9.14
933,94,56.25,Manchester City,direct,34.59,42.28,edge box,clearance,False,True,False,236403.0,1.97,31.59
934,94,36.08,Manchester City,direct,94.2,17.06,edge box,shot,True,False,False,265185.0,10.34,14.24
935,94,83.0,Manchester City,direct,56.1,10.4,far post,clearance,False,True,False,246671.0,71.38,13.96
941,95,65.77,Athletico PR,layoff,31.42,4.56,far post,second ball,False,False,False,248493.0,75.38,28.86
942,95,24.81,Brighton & Hove Albion,layoff,21.21,45.67,far post,no outcome,False,False,False,236792.0,69.73,25.97
943,95,7.48,Athletico PR,direct,19.95,34.29,penalty spot,clearance,False,True,False,242964.0,25.16,41.5
944,95,21.81,Athletico PR,indirect,84.52,11.51,near post,goal,True,False,True,220477.0,4.64,25.57
945,95,70.96,Athletico PR,indirect,97.21,18.95,far post,shot,True,False,False,261007.0,14.16,14.49
951,96,44.33,Vasco da Gama,direct,17.9,33.57,edge box,second ball,False,False,False,190885.0,62.02,48.69
961,97,1.26,Monza,indirect,51.69,23.95,edge box,second ball,False,False,False,243921.0,4.51,11.64
962,97,10.48,spusu SKN St. Pölten,indirect,94.47,40.96,near post,goal,True,False,True,204472.0,62.88,43.27
963,97,55.66,spusu SKN St. Pölten,indirect,47.5,20.36,far post,shot,True,False,False,185122.0,92.15,30.96
964,97,85.44,Monza,direct,28.38,46.24,edge box,shot,True,False,False,205346.0,3.22,20.37
965,97,27.66,Monza,indirect,44.31,40.79,penalty spot,shot,True,False,False,251401.0,35.42,44.63
971,98,52.23,Rheindorf Altach,indirect,64.43,24.53,edge box,no outcome,False,False,False,240913.0,54.58,49.85
972,98,5.28,Rheindorf Altach,indirect,8.77,4.42,penalty spot,second ball,False,False,False,265412.0,97.38,29.25
981,99,21.64,Atlético Mineiro,layoff,44.24,24.65,penalty spot,second ball,False,False,False,257051.0,50.28,13.36
982,99,7.56,Atlético Mineiro,indirect,13.93,27.09,near post,second ball,False,False,False,241825.0,79.25,34.11
983,99,24.05,Paderborn,indirect,4.79,1.49,penalty spot,clearance,False,True,False,221323.0,6.01,36.24
991,100,34.59,Chapecoense,direct,23.81,12.96,edge box,clearance,False,True,False,199503.0,74.56,43.58
992,100,67.71,Bologna,direct,95.21,25.86,penalty spot,second ball,False,False,False,237040.0,78.48,7.58
993,100,67.18,Chapecoense,direct,17.07,38.64,penalty spot,clearance,False,True,False,257073.0,8.46,18.31
994,100,27.15,Bologna,cross,89.16,37.14,penalty spot,shot,True,False,False,202849.0,8.42,44.5
995,100,87.57,Chapecoense,layoff,57.52,19.87,edge box,clearance,False,True,False,246186.0,31.08,37.81
1001,101,15.23,SC Paderborn 07,indirect,64.8,1.74,far post,second ball,False,False,False,202884.0,32.28,30.85
1011,102,65.44,Norwich City,cross,17.6,43.96,far post,second ball,False,False,False,216433.0,34.91,12.92
1012,102,43.42,Norwich City,direct,24.76,35.04,edge box,clearance,False,True,False,214748.0,84.55,38.21
1013,102,83.79,FC Augsburg,direct,48.55,40.85,edge box,goal,True,False,True,210833.0,79.37,17.94
1014,102,15.19,Norwich City,layoff,63.19,36.4,far post,no outcome,False,False,False,239231.0,6.8,28.99
1021,103,42.78,Chapecoense,direct,54.71,23.55,far post,second ball,False,False,False,198329.0,44.12,6.99
1031,104,14.49,Schalke 04,cross,63.01,17.1,near post,second ball,False,False,False,266877.0,40.37,17.62
1032,104,62.34,Salzburg,cross,73.1,27.61,penalty spot,clearance,False,True,False,240906.0,32.53,20.83
1033,104,62.93,Salzburg,cross,20.48,21.88,penalty spot,goal,True,False,True,241084.0,28.12,44.56
1041,105,62.72,Ceará Sporting Club,direct,30.61,17.81,far post,second ball,False,False,False,186589.0,56.06,25.59
1042,105,86.06,Ceará Sporting Club,layoff,80.16,38.07,edge box,shot,True,False,False,256261.0,47.11,39.41
1043,105,8.3,Ceará Sporting Club,indirect,7.49,33.71,far post,goal,True,False,True,206518.0,79.25,36.13
1051,106,10.46,FC Union Berlin,layoff,52.98,13.01,far post,second ball,False,False,False,264364.0,60.7,47.78
1052,106,40.73,SV Mattersburg,layoff,51.75,47.96,far post,goal,True,False,True,255409.0,64.14,10.94
1053,106,30.71,SV Mattersburg,cross,72.64,38.24,near post,no outcome,False,False,False,221331.0,3.53,30.47
1054,106,38.94,SV Mattersburg,layoff,82.24,15.45,edge box,goal,True,False,True,216158.0,0.87,36.12
1061,107,41.68,Milan,direct,95.33,5.31,far post,no outcome,False,False,False,253969.0,42.74,29.27
1062,107,77.16,Milan,indirect,34.49,17.41,penalty spot,clearance,False,True,False,235172.0,79.51,12.05
1071,108,57.31,Chapecoense,cross,41.86,25.05,near post,second ball,False,False,False,236723.0,70.71,22.35
1072,108,7.52,SpVgg Greuther Fürth,layoff,50.3,10.92,near post,no outcome,False,False,False,268081.0,7.07,27.99
1073,108,71.53,Chapecoense,cross,94.95,23.04,edge box,shot,True,False,False,191628.0,14.56,26.09
1081,109,89.91,Brentford,indirect,6.33,2.75,near post,clearance,False,True,False,191011.0,69.01,5.43
1082,109,33.95,Aston Villa,layoff,68.53,27.66,far post,shot,True,False,False,202335.0,46.78,34.35
1091,110,30.8,VfL Wolfsburg,cross,60.59,19.83,penalty spot,no outcome,False,False,False,265789.0,11.98,31.07
1101,111,15.68,PFC CSKA Moscow,cross,72.03,1.94,far post,shot,True,False,False,238370.0,78.1,26.43
1102,111,41.41,PFC CSKA Moscow,direct,47.51,46.57,edge box,clearance,False,True,False,248121.0,73.67,20.79
1111,112,1.93,FC Union Berlin,direct,17.24,18.69,near post,clearance,False,True,False,189596.0,70.55,39.69
1112,112,24.96,FC Union Berlin,indirect,43.97,24.22,near post,second ball,False,False,False,230452.0,41.82,21.05
1113,112,80.67,FC Union Berlin,cross,66.2,42.96,penalty spot,second ball,False,False,False,230190.0,61.14,41.72
1114,112,30.46,FC Union Berlin,direct,96.61,17.68,far post,second ball,False,False,False,240481.0,5.99,28.34
1121,113,33.9,FC Augsburg,indirect,76.49,27.85,far post,goal,True,False,True,244438.0,45.85,30.51
1122,113,1.02,SK Rapid Wien,cross,6.36,47.83,far post,shot,True,False,False,202518.0,20.57,20.83
1131,114,4.02,SpVgg Greuther Fürth,indirect,14.31,19.2,far post,second ball,False,False,False,253693.0,62.54,6.17
1132,114,76.96,SpVgg Greuther Fürth,indirect,56.16,14.81,edge box,clearance,False,True,False,225410.0,41.67,48.76
1141,115,12.51,São Paulo,direct,16.62,1.08,edge box,clearance,False,True,False,215370.0,95.72,41.14
1142,115,55.94,São Paulo,cross,71.85,47.34,far post,shot,True,False,False,250931.0,51.33,9.44
1143,115,26.15,São Paulo,indirect,38.71,15.68,edge box,clearance,False,True,False,256674.0,43.82,49.54
1151,116,89.69,TSV Egger Glas Hartberg,direct,41.77,8.13,edge box,goal,True,False,True,225673.0,90.82,4.65
1152,116,86.18,TSV Egger Glas Hartberg,cross,2.96,46.4,penalty spot,shot,True,False,False,235033.0,31.03,15.89
1153,116,86.79,TSV Egger Glas Hartberg,cross,82.17,4.56,far post,second ball,False,False,False,238476.0,92.11,23.55
1161,117,50.77,Borussia Dortmund,cross,25.72,28.51,far post,shot,True,False,False,244004.0,86.76,16.41
1162,117,79.61,West Ham United,layoff,2.33,40.21,penalty spot,shot,True,False,False,233152.0,32.34,13.92
1163,117,10.42,Borussia Dortmund,direct,63.66,17.22,edge box,shot,True,False,False,258505.0,79.83,47.6
1164,117,59.03,Borussia Dortmund,direct,33.02,23.4,near post,goal,True,False,True,203376.0,63.17,11.29
1171,118,74.83,LASK Linz,indirect,65.45,47.15,far post,clearance,False,True,False,238569.0,90.51,48.69
1172,118,13.43,LASK Linz,cross,60.14,48.38,edge box,goal,True,False,True,215522.0,88.94,33.36
1173,118,23.16,LASK Linz,direct,44.22,8.23,penalty spot,clearance,False,True,False,219957.0,13.85,1.13
1181,119,68.02,U.S. Sassuolo Calcio,indirect,70.68,31.06,edge box,goal,True,False,True,230459.0,36.91,43.34
1182,119,47.33,U.S. Sassuolo Calcio,direct,93.42,17.97,edge box,clearance,False,True,False,201389.0,79.12,34.04
1183,119,68.16,U.S. Sassuolo Calcio,cross,12.14,5.09,edge box,clearance,False,True,False,189430.0,57.12,18.38
1184,119,46.39,Hertha BSC,layoff,0.72,20.11,far post,no outcome,False,False,False,266877.0,70.53,43.59
1185,119,56.99,U.S. Sassuolo Calcio,direct,54.07,13.39,far post,clearance,False,True,False,211575.0,63.76,4.6
1191,120,8.22,Schalke 04,layoff,16.93,24.47,near post,goal,True,False,True,180819.0,93.97,37.57
1192,120,62.22,Cruzeiro,cross,50.69,0.81,penalty spot,clearance,False,True,False,230403.0,33.33,1.45
1193,120,42.73,Schalke 04,direct,8.3,11.84,near post,second ball,False,False,False,231969.0,81.35,12.41
1201,121,12.77,Sport-Club Freiburg,layoff,78.26,18.62,near post,clearance,False,True,False,237570.0,39.79,18.11
1202,121,7.72,Sport-Club Freiburg,direct,20.51,41.81,far post,shot,True,False,False,236175.0,41.02,30.71
1203,121,31.26,América Mineiro,direct,95.16,5.69,far post,no outcome,False,False,False,180216.0,43.91,42.64
1211,122,23.77,Venezia,cross,50.19,6.9,penalty spot,second ball,False,False,False,231943.0,5.93,29.29
1221,123,26.34,Avaí,direct,47.95,37.0,near post,second ball,False,False,False,230382.0,36.91,20.26
1231,124,43.98,Werder Bremen,cross,70.7,49.78,near post,shot,True,False,False,201988.0,30.77,18.63
1232,124,71.3,Werder Bremen,direct,16.52,39.37,penalty spot,second ball,False,False,False,230199.0,19.22,44.48
1233,124,41.75,SK Rapid Wien,indirect,68.64,43.33,penalty spot,shot,True,False,False,263038.0,21.94,23.97
1241,125,71.37,Torino,cross,23.43,44.71,near post,clearance,False,True,False,260554.0,15.17,10.56
1242,125,37.64,Grêmio,indirect,8.57,44.96,penalty spot,shot,True,False,False,173909.0,11.22,4.85
1243,125,2.34,Grêmio,indirect,44.72,23.65,far post,clearance,False,True,False,226710.0,33.84,28.37
1251,126,28.11,Goiás,indirect,43.85,13.89,far post,shot,True,False,False,198118.0,35.22,33.49
1252,126,65.09,Goiás,cross,48.75,18.17,penalty spot,clearance,False,True,False,240452.0,27.45,1.91
1261,127,16.73,Udinese Calcio,direct,35.52,18.68,edge box,goal,True,False,True,255074.0,34.48,39.64
1262,127,59.23,Udinese Calcio,indirect,17.83,3.25,penalty spot,second ball,False,False,False,234029.0,87.75,25.13
1263,127,56.15,Udinese Calcio,indirect,47.49,2.8,penalty spot,clearance,False,True,False,162835.0,74.24,46.17
1264,127,39.47,Juventude,indirect,15.36,18.69,near post,second ball,False,False,False,225100.0,42.0,16.17
1271,128,64.87,AFC Bournemouth,layoff,12.35,3.52,far post,clearance,False,True,False,200332.0,83.68,13.8
1272,128,77.46,Cremonese,layoff,73.29,23.07,edge box,goal,True,False,True,238074.0,93.54,49.0
1273,128,21.86,AFC Bournemouth,cross,1.37,48.77,edge box,no outcome,False,False,False,226790.0,28.05,35.73
1281,129,78.33,SK Rapid Wien,indirect,39.19,4.26,edge box,clearance,False,True,False,211899.0,5.19,6.3
1282,129,7.75,Napoli,layoff,15.57,38.21,near post,clearance,False,True,False,184749.0,86.2,27.7
1283,129,69.74,SK Rapid Wien,direct,42.22,12.24,near post,shot,True,False,False,247166.0,9.8,34.69
1291,130,48.21,Ried,cross,84.62,39.96,far post,shot,True,False,False,233943.0,99.33,23.76
1301,131,60.63,FSV Mainz 05,cross,42.48,22.33,edge box,second ball,False,False,False,245992.0,45.73,2.38
1302,131,10.08,CSKA Moskva,cross,39.44,41.18,far post,no outcome,False,False,False,252371.0,27.44,41.5
1303,131,52.8,CSKA Moskva,layoff,60.19,30.93,edge box,clearance,False,True,False,237161.0,42.82,31.28
1311,132,5.5,VfL Bochum 1848,direct,13.76,0.4,near post,shot,True,False,False,205452.0,28.4,48.76
1312,132,62.68,Coritiba,cross,15.59,21.31,far post,shot,True,False,False,263380.0,10.56,29.92
1321,133,82.02,Hellas Verona,indirect,7.31,5.93,far post,second ball,False,False,False,221992.0,33.73,4.45
1322,133,7.26,Hellas Verona,direct,83.51,10.15,penalty spot,shot,True,False,False,237586.0,81.63,40.31
1323,133,44.6,Hellas Verona,indirect,7.2,22.76,penalty spot,shot,True,False,False,263571.0,18.5,2.79
1324,133,80.76,Hellas Verona,direct,4.85,26.95,near post,goal,True,False,True,181098.0,76.12,4.21
1325,133,69.28,Juventude,layoff,46.61,19.6,far post,shot,True,False,False,231292.0,99.71,7.09
1331,134,2.43,Fulham,layoff,60.45,28.16,far post,second ball,False,False,False,191011.0,37.55,11.47
1332,134,7.98,Fulham,cross,63.62,1.65,edge box,clearance,False,True,False,222104.0,55.43,10.83
1333,134,19.77,Fulham,indirect,56.41,47.46,penalty spot,shot,True,False,False,230229.0,42.04,37.24
1341,135,28.48,FC Schalke 04,layoff,79.9,15.15,penalty spot,clearance,False,True,False,208335.0,2.84,38.88
1351,136,69.16,Nottingham Forest,cross,91.5,4.46,far post,second ball,False,False,False,260141.0,57.01,10.73
1352,136,44.55,Nottingham Forest,cross,81.26,37.95,edge box,clearance,False,True,False,206058.0,20.65,26.78
1361,137,61.24,Brentford,cross,68.38,41.3,penalty spot,no outcome,False,False,False,269993.0,30.45,34.3
1362,137,9.27,Brentford,cross,46.57,5.01,edge box,shot,True,False,False,263049.0,69.04,43.0
1363,137,67.95,Brentford,direct,90.93,37.33,near post,shot,True,False,False,230507.0,11.48,48.23
1364,137,88.95,Brentford,layoff,84.3,25.55,far post,clearance,False,True,False,193272.0,71.79,10.57
1371,138,23.79,FC Lokomotiv Moscow,layoff,14.59,30.33,edge box,shot,True,False,False,238086.0,27.29,10.6
1372,138,71.84,FC Lokomotiv Moscow,direct,69.33,31.32,edge box,shot,True,False,False,239837.0,19.08,21.49
1373,138,39.71,LASK Linz,direct,96.62,18.98,edge box,clearance,False,True,False,237207.0,28.79,32.93
1374,138,32.85,LASK Linz,direct,72.47,8.54,edge box,second ball,False,False,False,242429.0,89.3,28.8
1381,139,40.63,Austria Wien,cross,2.73,26.99,near post,goal,True,False,True,236177.0,98.13,46.43
1382,139,32.11,Austria Klagenfurt,indirect,57.62,42.2,far post,second ball,False,False,False,256620.0,53.16,38.39
1383,139,38.79,Austria Klagenfurt,cross,83.26,46.35,edge box,second ball,False,False,False,210450.0,38.7,47.13
1391,140,75.84,Club Athletico Paranaense,direct,53.89,46.04,far post,clearance,False,True,False,235243.0,60.08,15.78
1392,140,8.08,Wolverhampton Wanderers,direct,11.27,2.9,penalty spot,goal,True,False,True,236556.0,1.44,11.91
1393,140,45.03,Club Athletico Paranaense,indirect,77.49,5.96,near post,second ball,False,False,False,210474.0,97.81,4.84
1394,140,62.8,Wolverhampton Wanderers,indirect,21.52,30.87,penalty spot,second ball,False,False,False,246074.0,26.19,48.74
1395,140,82.28,Club Athletico Paranaense,cross,33.98,10.25,near post,shot,True,False,False,260143.0,38.69,30.67
1401,141,53.76,CSA,cross,48.46,14.16,penalty spot,shot,True,False,False,264245.0,78.79,7.83
1402,141,88.27,Borussia Mönchengladbach,indirect,25.13,0.56,penalty spot,shot,True,False,False,247601.0,97.06,13.26
1403,141,60.29,Borussia Mönchengladbach,indirect,94.05,47.16,far post,second ball,False,False,False,245901.0,72.25,44.32
1404,141,80.69,Borussia Mönchengladbach,indirect,15.08,28.57,far post,shot,True,False,False,216388.0,83.72,7.09
1405,141,9.54,CSA,cross,72.82,14.11,far post,shot,True,False,False,243057.0,76.44,18.65
1411,142,17.02,Avaí FC,cross,6.08,23.52,penalty spot,clearance,False,True,False,212879.0,42.93,7.25
1421,143,40.15,Ried,direct,32.46,7.72,near post,clearance,False,True,False,248384.0,52.54,31.42
1422,143,56.46,Crotone,indirect,27.28,28.07,penalty spot,clearance,False,True,False,221944.0,47.99,4.78
1423,143,35.3,Ried,indirect,4.45,4.82,edge box,clearance,False,True,False,230452.0,76.28,36.17
1431,144,2.6,LASK Linz,indirect,63.22,46.27,far post,second ball,False,False,False,244097.0,37.93,2.17
1441,145,40.99,Leicester City,layoff,5.24,1.18,near post,goal,True,False,True,230169.0,95.39,45.12
1442,145,78.97,Empoli,layoff,29.63,13.5,near post,shot,True,False,False,234728.0,1.22,28.48
1443,145,7.23,Empoli,indirect,91.96,5.92,far post,clearance,False,True,False,260126.0,79.92,37.06
1444,145,64.79,Empoli,direct,81.66,34.25,near post,shot,True,False,False,256942.0,9.04,12.46
1451,146,53.22,Arsenal,layoff,47.66,33.82,penalty spot,shot,True,False,False,246923.0,47.24,10.75
1461,147,16.68,Hellas Verona,direct,89.79,23.97,edge box,clearance,False,True,False,228941.0,91.89,12.89
1462,147,39.51,Hellas Verona,indirect,20.81,19.44,edge box,goal,True,False,True,257534.0,33.65,36.83
1463,147,79.11,Hellas Verona,indirect,98.14,27.38,far post,shot,True,False,False,225381.0,36.14,40.89
1464,147,60.33,Burnley,indirect,0.07,13.08,edge box,no outcome,False,False,False,256280.0,92.92,46.96
1465,147,7.47,Burnley,indirect,22.2,44.4,penalty spot,shot,True,False,False,201325.0,16.31,23.19
1471,148,40.78,Newcastle United,layoff,34.48,41.39,edge box,second ball,False,False,False,219536.0,99.14,33.17
1472,148,38.57,Paderborn,layoff,76.59,20.19,far post,shot,True,False,False,240803.0,66.96,31.83
1473,148,27.07,Newcastle United,direct,25.19,15.33,near post,second ball,False,False,False,263464.0,27.91,41.27
1474,148,15.36,Newcastle United,indirect,45.9,12.3,penalty spot,second ball,False,False,False,202024.0,23.73,47.39
1475,148,13.56,Paderborn,cross,2.85,17.86,near post,second ball,False,False,False,262663.0,12.67,33.29
1481,149,45.45,Torino F.C.,cross,83.92,22.85,far post,clearance,False,True,False,230390.0,21.26,10.01
1482,149,22.24,Torino F.C.,indirect,54.64,33.04,penalty spot,shot,True,False,False,229880.0,32.01,11.56
1483,149,33.82,Torino F.C.,layoff,7.5,45.65,edge box,clearance,False,True,False,236758.0,66.48,22.64
1491,150,81.1,Club Athletico Paranaense,cross,52.71,42.52,penalty spot,clearance,False,True,False,257914.0,62.63,39.28
1492,150,32.93,Club Athletico Paranaense,cross,63.72,18.55,penalty spot,clearance,False,True,False,205990.0,31.4,34.42
1493,150,56.75,Hartberg,layoff,89.46,33.7,edge box,second ball,False,False,False,241402.0,48.12,22.24
1494,150,9.9,Club Athletico Paranaense,direct,18.74,47.63,far post,shot,True,False,False,262113.0,83.79,2.92
1495,150,60.79,Hartberg,indirect,65.08,38.72,far post,shot,True,False,False,239189.0,40.08,42.51
1501,151,55.13,Lazio,cross,78.9,13.54,far post,goal,True,False,True,205363.0,24.39,14.92
1502,151,30.34,Lazio,indirect,69.0,7.94,near post,clearance,False,True,False,41236.0,38.99,38.5
1511,152,19.17,Admira,cross,75.9,1.61,near post,no outcome,False,False,False,202282.0,20.46,49.41
1512,152,29.95,FC Red Bull Salzburg,indirect,54.65,17.86,near post,clearance,False,True,False,218623.0,11.11,24.46
1521,153,39.77,Kaizer Chiefs,cross,18.51,40.83,near post,no outcome,False,False,False,268260.0,34.1,2.46
1522,153,54.28,Salernitana,indirect,28.87,1.84,far post,no outcome,False,False,False,216145.0,9.04,16.69
1523,153,56.81,Kaizer Chiefs,layoff,60.63,18.95,edge box,shot,True,False,False,266069.0,61.05,49.36
1524,153,17.35,Kaizer Chiefs,indirect,7.15,24.33,near post,clearance,False,True,False,175254.0,64.29,45.72
1531,154,4.58,Spartak Moskva,layoff,6.93,25.77,far post,second ball,False,False,False,207897.0,24.27,45.64
1541,155,4.83,Aston Villa,direct,55.65,19.75,near post,shot,True,False,False,231866.0,6.33,11.12
1542,155,65.59,Chapecoense,indirect,10.99,22.74,edge box,shot,True,False,False,260710.0,97.64,49.58
1543,155,87.94,Aston Villa,indirect,3.33,49.93,penalty spot,goal,True,False,True,236192.0,8.33,34.55
1544,155,89.22,Chapecoense,cross,59.36,8.92,penalty spot,shot,True,False,False,241842.0,45.14,26.09
1551,156,74.21,Orlando Pirates,cross,81.02,41.01,far post,shot,True,False,False,257368.0,63.68,11.27
1552,156,10.16,FC Red Bull Salzburg,layoff,58.0,37.32,near post,shot,True,False,False,230977.0,21.11,30.97
1561,157,28.69,Eintracht Frankfurt,indirect,69.04,38.97,edge box,clearance,False,True,False,265789.0,51.54,15.92
1562,157,11.29,Eintracht Frankfurt,layoff,33.35,46.25,far post,goal,True,False,True,225508.0,12.51,37.82
1563,157,75.94,Leeds United,cross,40.47,4.36,far post,clearance,False,True,False,210719.0,15.83,9.86
1564,157,84.96,Leeds United,direct,56.24,35.45,far post,no outcome,False,False,False,230708.0,96.14,39.02
1571,158,28.07,Paderborn,direct,76.1,35.96,edge box,shot,True,False,False,243237.0,97.69,44.95
1572,158,48.37,Fortaleza,indirect,23.23,35.67,far post,second ball,False,False,False,264589.0,99.82,27.81
1581,159,4.96,Wattens,indirect,57.76,17.22,near post,shot,True,False,False,258906.0,62.74,45.18
1582,159,63.66,Wattens,cross,28.39,7.57,near post,clearance,False,True,False,193910.0,42.92,19.91
1583,159,58.67,Avaí,direct,12.76,12.02,near post,clearance,False,True,False,266433.0,27.74,5.8
1591,160,6.78,Atlético Mineiro,cross,28.48,17.92,near post,clearance,False,True,False,225508.0,1.94,9.26
1592,160,4.26,Fortuna Düsseldorf,cross,19.37,49.23,edge box,shot,True,False,False,252480.0,53.89,49.56
1601,161,35.82,Coritiba,layoff,15.24,4.85,edge box,shot,True,False,False,252999.0,35.03,17.87
1602,161,51.22,Kaizer Chiefs,cross,0.84,18.91,far post,shot,True,False,False,185103.0,75.87,40.3
1603,161,71.56,Coritiba,indirect,0.34,36.44,far post,shot,True,False,False,252894.0,94.79,21.5
1604,161,29.32,Coritiba,layoff,6.4,47.41,far post,shot,True,False,False,169792.0,92.29,15.25
1605,161,41.54,Coritiba,indirect,34.6,22.65,far post,clearance,False,True,False,178418.0,78.77,2.21
1611,162,40.5,Roma,indirect,28.19,33.8,far post,second ball,False,False,False,244260.0,21.64,31.48
1621,163,12.97,Vasco da Gama,direct,80.22,31.39,penalty spot,shot,True,False,False,238072.0,26.75,12.26
1622,163,67.73,Vasco da Gama,layoff,53.9,35.49,near post,clearance,False,True,False,230396.0,0.52,1.48
1623,163,75.29,Dynamo Kyiv,layoff,84.69,48.55,near post,clearance,False,True,False,211879.0,50.32,9.7
1624,163,44.53,Dynamo Kyiv,layoff,17.08,4.81,penalty spot,shot,True,False,False,231743.0,65.43,38.95
1631,164,11.82,Athletico PR,direct,90.49,42.88,penalty spot,clearance,False,True,False,263272.0,10.26,32.37
1632,164,70.53,Athletico PR,direct,18.22,31.59,far post,clearance,False,True,False,230247.0,43.45,3.03
1633,164,68.78,Vasco da Gama,layoff,17.53,34.64,near post,shot,True,False,False,173306.0,11.54,17.36
1634,164,66.7,Vasco da Gama,cross,40.82,11.72,penalty spot,clearance,False,True,False,224030.0,51.01,29.64
1635,164,57.55,Athletico PR,direct,46.18,37.69,near post,goal,True,False,True,222331.0,97.16,24.96
1641,165,15.18,Salernitana,layoff,93.34,38.2,edge box,no outcome,False,False,False,240273.0,22.76,13.54
1642,165,17.69,Werder Bremen,direct,75.1,6.61,far post,shot,True,False,False,205362.0,19.73,0.39
1643,165,71.19,Salernitana,direct,89.91,44.5,far post,no outcome,False,False,False,230243.0,80.06,30.56
1644,165,76.33,Salernitana,indirect,29.62,3.51,near post,clearance,False,True,False,170084.0,86.44,42.31
1645,165,63.2,Werder Bremen,layoff,1.96,41.39,far post,no outcome,False,False,False,231874.0,17.47,49.28
1651,166,17.2,FC Schalke 04,indirect,96.79,15.25,penalty spot,second ball,False,False,False,229476.0,35.55,26.57
1661,167,8.9,Manchester City,cross,8.83,26.62,near post,clearance,False,True,False,256943.0,44.2,49.95
1662,167,10.43,Manchester City,layoff,64.41,36.13,near post,shot,True,False,False,240319.0,39.6,9.24
1663,167,13.19,Napoli,cross,62.92,17.38,near post,second ball,False,False,False,229558.0,2.11,20.1
1664,167,20.92,Napoli,cross,68.14,0.41,near post,goal,True,False,True,230195.0,17.52,37.59
1671,168,72.93,Mamelodi Sundowns,indirect,89.06,2.18,edge box,shot,True,False,False,230236.0,96.05,9.5
1681,169,64.59,VfB Stuttgart,indirect,90.94,0.46,near post,shot,True,False,False,246923.0,2.3,18.14
1682,169,64.31,Brentford,direct,87.83,2.92,near post,clearance,False,True,False,263289.0,66.69,35.0
1691,170,41.99,Eintracht Frankfurt,cross,98.06,29.54,edge box,clearance,False,True,False,212192.0,9.02,28.46
1692,170,77.44,WSG Tirol,cross,66.14,8.78,near post,clearance,False,True,False,261991.0,94.32,25.99
1693,170,24.67,WSG Tirol,layoff,37.28,41.94,penalty spot,clearance,False,True,False,261647.0,49.69,35.61
1694,170,62.27,WSG Tirol,direct,43.82,49.25,edge box,second ball,False,False,False,223751.0,93.43,14.23
1695,170,37.19,Eintracht Frankfurt,cross,83.9,37.25,penalty spot,clearance,False,True,False,225995.0,86.49,46.55
1701,171,87.33,Sturm Graz,direct,53.09,14.68,near post,no outcome,False,False,False,173160.0,13.58,34.41
1702,171,46.67,Dynamo Kyiv,cross,33.2,29.41,near post,second ball,False,False,False,231292.0,90.47,2.41
1703,171,82.4,Dynamo Kyiv,indirect,22.63,21.71,near post,shot,True,False,False,266069.0,90.04,15.53
1704,171,54.12,Sturm Graz,direct,62.51,14.77,penalty spot,clearance,False,True,False,245436.0,40.13,32.07
1705,171,58.16,Sturm Graz,cross,83.61,30.72,far post,second ball,False,False,False,211748.0,49.43,12.57
1711,172,35.3,Borussia Mönchengladbach,direct,46.75,49.29,edge box,shot,True,False,False,211987.0,58.72,41.74
1712,172,53.8,Borussia Mönchengladbach,indirect,46.04,20.96,penalty spot,clearance,False,True,False,198261.0,17.4,30.65
1713,172,19.68,Nottingham Forest,direct,46.56,17.11,edge box,shot,True,False,False,262380.0,29.55,43.03
1721,173,18.34,Lecce,direct,44.17,48.67,near post,shot,True,False,False,259634.0,47.33,29.72
1722,173,85.92,Lecce,cross,96.88,32.96,near post,shot,True,False,False,229752.0,47.43,43.95
1723,173,74.43,Brescia,layoff,28.37,42.89,far post,clearance,False,True,False,230631.0,86.79,1.89
1724,173,38.26,Brescia,layoff,13.84,46.05,penalty spot,shot,True,False,False,171490.0,91.0,25.68
1725,173,51.52,Lecce,cross,12.76,12.86,far post,no outcome,False,False,False,237329.0,82.5,32.9
